33	83	132	Poro
75	161	203	Poro
31	100	163	Poro
88	170	205	Poro
31	112	177	Poro
55	132	176	Poro
54	134	181	Poro
25	98	186	Poro
41	115	170	Poro
34	102	160	Poro
59	142	197	Poro
20	76	138	Poro
81	161	201	Poro
16	85	173	Poro
32	107	173	Poro
22	106	189	Poro
33	108	196	Poro
37	110	178	Poro
28	97	166	Poro
28	102	196	Poro
52	90	96	Poro
30	92	159	Poro
33	107	196	Poro
70	146	180	Poro
22	88	159	Poro
37	107	158	Poro
32	74	114	Poro
22	89	115	Poro
33	101	177	Poro
25	83	135	Poro
24	72	126	Poro
27	88	157	Poro
14	63	142	Poro
37	113	162	Poro
22	93	175	Poro
54	98	97	Poro
38	91	129	Poro
29	106	179	Poro
27	97	178	Poro
31	111	182	Poro
20	59	100	Poro
26	92	135	Poro
43	98	138	Poro
18	56	91	Poro
35	106	167	Poro
30	107	183	Poro
14	50	95	Poro
88	166	199	Poro
26	88	121	Poro
24	71	115	Poro
11	55	121	Poro
35	110	183	Poro
13	50	95	Poro
41	104	139	Poro
27	92	151	Poro
25	87	143	Poro
29	94	162	Poro
37	117	186	Poro
29	108	190	Poro
18	74	125	Poro
35	112	190	Poro
56	131	183	Poro
28	93	153	Poro
31	109	167	Poro
51	111	155	Poro
49	125	183	Poro
29	84	113	Poro
67	148	187	Poro
84	164	200	Poro
40	106	144	Poro
36	95	157	Poro
26	103	183	Poro
47	114	159	Poro
38	84	103	Poro
49	120	175	Poro
26	105	187	Poro
49	89	90	Poro
23	98	182	Poro
9	51	118	Poro
26	105	168	Poro
73	153	202	Poro
24	103	189	Poro
14	58	72	Poro
24	106	198	Poro
55	118	177	Poro
24	86	149	Poro
22	101	193	Poro
28	92	147	Poro
30	100	159	Poro
57	107	131	Poro
26	97	180	Poro
30	76	100	Poro
18	61	72	Poro
29	89	160	Poro
65	140	186	Poro
48	117	141	Poro
34	91	160	Poro
45	127	187	Poro
32	90	150	Poro
29	103	167	Poro
51	131	192	Poro
27	96	183	Poro
28	106	184	Poro
71	149	179	Poro
31	111	187	Poro
11	35	67	Poro
24	66	100	Poro
26	109	191	Poro
50	129	186	Poro
26	95	183	Poro
37	113	187	Poro
57	133	185	Poro
31	104	198	Poro
35	104	170	Poro
24	93	180	Poro
65	139	174	Poro
23	94	141	Poro
93	177	204	Poro
32	93	186	Poro
60	122	161	Poro
26	106	195	Poro
26	74	131	Poro
24	70	123	Poro
33	93	153	Poro
27	105	186	Poro
29	109	194	Poro
30	110	193	Poro
155	217	185	Poro
29	89	147	Poro
32	108	173	Poro
32	93	153	Poro
29	109	191	Poro
25	105	193	Poro
24	69	106	Poro
33	116	180	Poro
76	159	206	Poro
22	99	181	Poro
34	102	186	Poro
25	78	114	Poro
29	106	197	Poro
22	78	134	Poro
26	95	161	Poro
26	103	187	Poro
39	111	185	Poro
25	100	181	Poro
43	122	182	Poro
22	72	109	Poro
23	91	155	Poro
52	126	175	Poro
81	155	196	Poro
25	88	147	Poro
28	111	198	Poro
3	25	65	Poro
98	166	167	Poro
45	118	164	Poro
26	92	146	Poro
16	74	145	Poro
25	96	170	Poro
41	117	173	Poro
23	96	180	Poro
39	105	148	Poro
39	116	189	Poro
29	104	187	Poro
26	99	181	Poro
25	100	196	Poro
73	151	187	Poro
25	99	187	Poro
20	96	160	Poro
63	144	198	Poro
40	107	172	Poro
31	106	197	Poro
29	107	178	Poro
29	102	182	Poro
24	84	150	Poro
51	130	191	Poro
24	80	139	Poro
22	83	159	Poro
20	57	92	Poro
31	104	167	Poro
75	160	201	Poro
27	65	93	Poro
30	105	171	Poro
39	121	194	Poro
31	96	138	Poro
46	89	117	Poro
26	81	169	Poro
33	112	196	Poro
38	117	173	Poro
85	150	173	Poro
34	117	188	Poro
32	107	189	Poro
15	80	139	Poro
34	101	159	Poro
31	108	189	Poro
46	115	176	Poro
34	112	187	Poro
32	75	125	Poro
24	104	194	Poro
32	107	173	Poro
23	97	167	Poro
26	99	169	Poro
26	107	198	Poro
27	105	190	Poro
34	110	181	Poro
36	92	138	Poro
9	49	139	Poro
33	109	178	Poro
48	112	159	Poro
77	155	180	Poro
24	94	182	Poro
28	98	173	Poro
34	108	182	Poro
35	99	161	Poro
58	136	177	Poro
29	99	168	Poro
31	96	165	Poro
34	106	180	Poro
24	93	177	Poro
27	97	167	Poro
33	111	192	Poro
28	104	173	Poro
35	110	177	Poro
27	104	190	Poro
45	108	149	Poro
39	85	107	Poro
64	139	189	Poro
26	100	170	Poro
35	105	171	Poro
31	104	175	Poro
23	80	133	Poro
26	89	153	Poro
79	122	138	Poro
29	74	127	Poro
69	147	197	Poro
149	218	206	Poro
22	91	148	Poro
25	106	182	Poro
80	126	136	Poro
6	52	90	Poro
15	50	112	Poro
26	68	105	Poro
24	103	173	Poro
44	83	123	Poro
36	108	168	Poro
37	94	156	Poro
34	101	146	Poro
27	104	192	Poro
36	110	167	Poro
123	191	187	Poro
24	80	139	Poro
24	88	155	Poro
29	105	191	Poro
30	110	204	Poro
27	64	122	Poro
14	50	87	Poro
64	142	188	Poro
25	59	76	Poro
40	113	174	Poro
27	99	177	Poro
14	71	151	Poro
